[Header]	
System	Liquids	
S/W Version	1.00	
User	James	
Date/Time	11/9/2015 12:19:48 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	
Catalyst	TC/TN	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	Auto. Dil.	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 12:58:03 PM	1	4	TC	9.958	30.41	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 1:01:29 PM	1	5	TC	8.512	26.72	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 1:05:28 PM	1	1	IC	0.3271	0.2409	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 1:08:14 PM	1	2	IC	0.000	-0.5956	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 1:12:12 PM	1	3	IC	3.150	7.460	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 1:15:18 PM	1	4	IC	10.17	25.41	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	1	50	10.00	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 1:18:12 PM	1	5	IC	7.964	19.77	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	1	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 1:28:01 PM	1	1	TC	0.000	5.043	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	1	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 1:31:34 PM	1	2	TC	15.64	44.88	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	1	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 1:35:04 PM	1	3	TC	10.16	30.92	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 1:38:37 PM	1	4	TC	10.75	32.43	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 1:42:09 PM	1	5	TC	9.704	29.76	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 1:46:14 PM	1	1	IC	2.121	4.828	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 1:49:00 PM	1	2	IC	0.000	-0.5956	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 1:53:29 PM	1	3	IC	247.1	631.3	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	1	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 1:58:39 PM	1	4	IC	16.33	41.16	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	1	50	10.00	
Unknown	TOC	AOP1406B002a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 2:01:39 PM	1	5	IC	10.86	27.18	TOC:20.57mg/L TC:31.04mg/L IC:10.47mg/L	0	50	10.00	
Unknown	TOC	AOP1406B009	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 2:13:09 PM	1	1	TC	141.3	365.0	TOC:312.8mg/L TC:368.7mg/L IC:55.88mg/L	0	50	10.00	
Unknown	TOC	AOP1406B009	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 2:17:38 PM	1	2	TC	141.2	364.7	TOC:312.8mg/L TC:368.7mg/L IC:55.88mg/L	0	50	10.00	
Unknown	TOC	AOP1406B009	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 2:22:12 PM	1	3	TC	145.8	376.4	TOC:312.8mg/L TC:368.7mg/L IC:55.88mg/L	0	50	10.00	
Unknown	TOC	AOP1406B009	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 2:27:07 PM	1	1	IC	22.33	56.51	TOC:312.8mg/L TC:368.7mg/L IC:55.88mg/L	0	50	10.00	
Unknown	TOC	AOP1406B009	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 2:30:21 PM	1	2	IC	21.17	53.54	TOC:312.8mg/L TC:368.7mg/L IC:55.88mg/L	1	50	10.00	
Unknown	TOC	AOP1406B009	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 2:33:56 PM	1	3	IC	21.72	54.95	TOC:312.8mg/L TC:368.7mg/L IC:55.88mg/L	0	50	10.00	
Unknown	TOC	AOP1406B009	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 2:37:33 PM	1	4	IC	22.20	56.17	TOC:312.8mg/L TC:368.7mg/L IC:55.88mg/L	0	50	10.00	
Unknown	TOC	1	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 2:49:05 PM	1	1	TC	211.3	543.3	TOC:365.8mg/L TC:563.0mg/L IC:197.2mg/L	1	50	10.00	
Unknown	TOC	1	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 2:53:28 PM	1	2	TC	218.2	560.8	TOC:365.8mg/L TC:563.0mg/L IC:197.2mg/L	0	50	10.00	
Unknown	TOC	1	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 2:57:59 PM	1	3	TC	219.4	563.9	TOC:365.8mg/L TC:563.0mg/L IC:197.2mg/L	0	50	10.00	
Unknown	TOC	1	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 3:02:33 PM	1	4	TC	219.5	564.2	TOC:365.8mg/L TC:563.0mg/L IC:197.2mg/L	0	50	10.00	
Unknown	TOC	1	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 3:07:32 PM	1	1	IC	76.23	194.3	TOC:365.8mg/L TC:563.0mg/L IC:197.2mg/L	0	50	10.00	
Unknown	TOC	1	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 3:11:23 PM	1	2	IC	77.13	196.6	TOC:365.8mg/L TC:563.0mg/L IC:197.2mg/L	0	50	10.00	
Unknown	TOC	1	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 3:15:09 PM	1	3	IC	78.69	200.6	TOC:365.8mg/L TC:563.0mg/L IC:197.2mg/L	0	50	10.00	
Unknown	TOC	2	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 3:26:31 PM	1	1	TC	202.8	521.6	TOC:338.6mg/L TC:524.1mg/L IC:185.5mg/L	0	50	10.00	
Unknown	TOC	2	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 3:30:57 PM	1	2	TC	204.2	525.2	TOC:338.6mg/L TC:524.1mg/L IC:185.5mg/L	0	50	10.00	
Unknown	TOC	2	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 3:35:29 PM	1	3	TC	204.3	525.4	TOC:338.6mg/L TC:524.1mg/L IC:185.5mg/L	0	50	10.00	
Unknown	TOC	2	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 3:40:30 PM	1	1	IC	73.12	186.4	TOC:338.6mg/L TC:524.1mg/L IC:185.5mg/L	0	50	10.00	
Unknown	TOC	2	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 3:44:10 PM	1	2	IC	72.89	185.8	TOC:338.6mg/L TC:524.1mg/L IC:185.5mg/L	0	50	10.00	
Unknown	TOC	2	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 3:47:52 PM	1	3	IC	72.33	184.4	TOC:338.6mg/L TC:524.1mg/L IC:185.5mg/L	0	50	10.00	
Unknown	TOC	4	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 3:59:23 PM	1	1	TC	154.1	397.6	TOC:306.7mg/L TC:411.7mg/L IC:105.0mg/L	1	50	10.00	
Unknown	TOC	4	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 4:03:49 PM	1	2	TC	160.3	413.4	TOC:306.7mg/L TC:411.7mg/L IC:105.0mg/L	0	50	10.00	
Unknown	TOC	4	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 4:08:14 PM	1	3	TC	158.4	408.5	TOC:306.7mg/L TC:411.7mg/L IC:105.0mg/L	0	50	10.00	
Unknown	TOC	4	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 4:12:49 PM	1	4	TC	160.2	413.1	TOC:306.7mg/L TC:411.7mg/L IC:105.0mg/L	0	50	10.00	
Unknown	TOC	4	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 4:17:40 PM	1	1	IC	40.53	103.0	TOC:306.7mg/L TC:411.7mg/L IC:105.0mg/L	0	50	10.00	
Unknown	TOC	4	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 4:21:18 PM	1	2	IC	41.44	105.4	TOC:306.7mg/L TC:411.7mg/L IC:105.0mg/L	0	50	10.00	
Unknown	TOC	4	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		12/22/2014 4:25:04 PM	1	3	IC	41.88	106.5	TOC:306.7mg/L TC:411.7mg/L IC:105.0mg/L	0	50	10.00	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.505 / Control exceeds range!	12/22/2014 4:33:21 PM	1	1	TC	35.83	9.631	TC:9.505mg/L	0	50	1.000	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.505 / Control exceeds range!	12/22/2014 4:37:36 PM	1	2	TC	35.15	9.458	TC:9.505mg/L	0	50	1.000	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.505 / Control exceeds range!	12/22/2014 4:41:54 PM	1	3	TC	35.03	9.427	TC:9.505mg/L	0	50	1.000	
Control	IC	IC QC 10ppm	IC2014/08	C:\TOC-L\Templates\IC_10ppm.tpl	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00	Control value: 10.48 / Control exceeds range!	12/22/2014 4:50:42 PM	1	1	IC	41.14	10.46	IC:10.48mg/L	0	50	1.000	
Control	IC	IC QC 10ppm	IC2014/08	C:\TOC-L\Templates\IC_10ppm.tpl	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00	Control value: 10.48 / Control exceeds range!	12/22/2014 4:54:19 PM	1	2	IC	41.21	10.48	IC:10.48mg/L	0	50	1.000	
Control	IC	IC QC 10ppm	IC2014/08	C:\TOC-L\Templates\IC_10ppm.tpl	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00	Control value: 10.48 / Control exceeds range!	12/22/2014 4:57:58 PM	1	3	IC	41.28	10.50	IC:10.48mg/L	0	50	1.000	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.718 / Control exceeds range!	1/6/2015 2:54:24 PM	1	1	TC	34.00	9.165	TC:9.718mg/L	1	50	1.000	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.718 / Control exceeds range!	1/6/2015 2:59:36 PM	1	2	TC	36.54	9.812	TC:9.718mg/L	0	50	1.000	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.718 / Control exceeds range!	1/6/2015 3:03:57 PM	1	3	TC	36.16	9.715	TC:9.718mg/L	0	50	1.000	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.718 / Control exceeds range!	1/6/2015 3:08:06 PM	1	4	TC	35.82	9.628	TC:9.718mg/L	0	50	1.000	
Control	IC	IC QC 10ppm	IC2014/08	C:\TOC-L\Templates\IC_10ppm.tpl	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00	Control value: 10.92 / Control exceeds range!	1/6/2015 3:18:01 PM	1	1	IC	43.27	11.01	IC:10.92mg/L	0	50	1.000	
Control	IC	IC QC 10ppm	IC2014/08	C:\TOC-L\Templates\IC_10ppm.tpl	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00	Control value: 10.92 / Control exceeds range!	1/6/2015 3:21:51 PM	1	2	IC	42.90	10.91	IC:10.92mg/L	0	50	1.000	
Control	IC	IC QC 10ppm	IC2014/08	C:\TOC-L\Templates\IC_10ppm.tpl	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00	Control value: 10.92 / Control exceeds range!	1/6/2015 3:25:48 PM	1	3	IC	42.65	10.85	IC:10.92mg/L	0	50	1.000	
Unknown	TOC	AOP1406B001	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		1/6/2015 3:37:21 PM	1	1	TC	144.9	374.1	TOC:360.1mg/L TC:373.6mg/L IC:13.55mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		1/6/2015 3:41:55 PM	1	2	TC	143.2	369.8	TOC:360.1mg/L TC:373.6mg/L IC:13.55mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		1/6/2015 3:46:27 PM	1	3	TC	146.0	376.9	TOC:360.1mg/L TC:373.6mg/L IC:13.55mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		1/6/2015 3:50:52 PM	1	1	IC	5.158	12.59	TOC:360.1mg/L TC:373.6mg/L IC:13.55mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		1/6/2015 3:53:56 PM	1	2	IC	5.582	13.68	TOC:360.1mg/L TC:373.6mg/L IC:13.55mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		1/6/2015 3:57:07 PM	1	3	IC	5.859	14.39	TOC:360.1mg/L TC:373.6mg/L IC:13.55mg/L	0	50	10.00	
Unknown	TOC	AOP1406B001	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		1/6/2015 4:00:23 PM	1	4	IC	6.445	15.89	TOC:360.1mg/L TC:373.6mg/L IC:13.55mg/L	1	50	10.00	
Unknown	TOC	AOP1406B001	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		1/6/2015 4:03:37 PM	1	5	IC	6.955	17.19	TOC:360.1mg/L TC:373.6mg/L IC:13.55mg/L	1	50	10.00	
Unknown	TOC	AOP1406B002	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		1/6/2015 4:15:21 PM	1	1	TC	139.6	360.6	TOC:349.9mg/L TC:363.7mg/L IC:13.77mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		1/6/2015 4:19:46 PM	1	2	TC	140.5	362.9	TOC:349.9mg/L TC:363.7mg/L IC:13.77mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		1/6/2015 4:24:13 PM	1	3	TC	142.3	367.5	TOC:349.9mg/L TC:363.7mg/L IC:13.77mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		1/6/2015 4:28:28 PM	1	1	IC	4.652	11.30	TOC:349.9mg/L TC:363.7mg/L IC:13.77mg/L	1	50	10.00	
Unknown	TOC	AOP1406B002	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		1/6/2015 4:31:33 PM	1	2	IC	5.246	12.82	TOC:349.9mg/L TC:363.7mg/L IC:13.77mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		1/6/2015 4:34:43 PM	1	3	IC	5.588	13.69	TOC:349.9mg/L TC:363.7mg/L IC:13.77mg/L	0	50	10.00	
Unknown	TOC	AOP1406B002	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00		1/6/2015 4:37:55 PM	1	4	IC	6.023	14.81	TOC:349.9mg/L TC:363.7mg/L IC:13.77mg/L	0	50	10.00	
