Determination start,Ident,Sample type,Method name,User (short name),Info 1,Anions.Chloride.Concentration,Anions.Bromide.Concentration,Anions.Sulfate.Concentration,Anions.Iodide.Concentration,Organic Acids.Formic acid.Concentration,Organic Acids.Acetic acid.Concentration,Organic Acids.Propionic acid.Concentration,Organic Acids.Butyrate.Concentration
2015-07-06 09:46:45 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-07-06 08:39:28 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.113,,,,,,
2015-07-02 11:15:43 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.136,,,,,,,
2015-07-02 10:10:10 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.135,,,,,,,
2015-07-02 09:02:46 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.617,,,,,
2015-06-29 10:56:16 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-06-29 09:50:44 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-06-29 08:45:15 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.158,2.051,,,,,
2015-06-25 11:10:52 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.129,0.066,,,,,,
2015-06-25 10:05:20 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-06-25 08:58:03 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.605,,,,,
2015-06-22 10:58:42 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.131,,0.048,,,,,
2015-06-22 09:53:14 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.048,,,,,
2015-06-22 08:45:54 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.923,,,,,
2015-06-18 11:55:59 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.131,,0.050,,,,,
2015-06-18 10:50:33 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.128,,0.050,,,,,
2015-06-18 09:43:11 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.136,1.616,,,,,
2015-06-15 10:49:10 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-06-15 09:43:45 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-06-15 08:36:27 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.104,2.258,,,,,
2015-06-11 10:53:51 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.129,,,,,,,
2015-06-11 09:48:23 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.128,,,,,,,
2015-06-11 08:41:07 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.559,,,,,
2015-06-08 10:55:22 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.045,,,,,
2015-06-08 09:49:54 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.128,,0.046,,,,,
2015-06-08 08:42:38 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,2.020,,,,,
2015-06-04 13:22:58 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.044,,,,,
2015-06-04 12:17:33 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.044,,,,,
2015-06-04 11:10:16 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.612,,,,,
2015-06-01 10:57:16 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.045,,,,,
2015-06-01 09:51:49 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.045,,,,,
2015-06-01 08:44:31 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,2.004,,,,,
2015-05-28 11:06:05 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.129,,0.047,,,,,
2015-05-28 10:00:36 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.124,,0.045,,,,,
2015-05-28 08:53:21 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-25 11:31:22 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.048,,,,,
2015-05-25 10:25:54 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.045,,,,,
2015-05-25 09:18:37 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-21 16:19:22 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.126,,0.049,,,,,
2015-05-21 15:13:54 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.126,,0.048,,,,,
2015-05-21 14:06:36 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-19 12:14:27 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.129,,0.047,,,,,
2015-05-19 11:08:56 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.130,,0.046,,,,,
2015-05-19 10:01:38 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.497,,,,,,
2015-05-12 20:23:11 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.046,,,,,
2015-05-12 19:17:31 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,50.350,4.880,5.004,4.838,,,,
2015-05-12 18:11:40 UTC-6,CVE1504A006 diluted,Sample,Cenovus anions,Lifeng,20 x dilution,115.307,0.954,0.091,0.411,,,,
2015-05-12 17:05:50 UTC-6,CVE1504A009,Sample,Cenovus anions,Lifeng,20 x dilution,133.864,0.654,3.236,0.117,,,,
2015-05-12 16:00:02 UTC-6,CVE1504A008,Sample,Cenovus anions,Lifeng,20 x dilution,137.195,0.694,1.701,0.141,,,,
2015-05-12 14:54:12 UTC-6,CVE1504A007,Sample,Cenovus anions,Lifeng,20 x dilution,130.830,0.683,1.367,0.149,,,,
2015-05-12 13:48:22 UTC-6,CVE1504A006,Sample,Cenovus anions,Lifeng,20 x dilution,238.546,1.920,0.132,0.769,,,,
2015-05-12 12:18:29 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,49.886,4.820,4.928,4.822,,,,
2015-05-12 10:46:09 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,52.069,5.037,5.208,4.978,,,,
2015-05-12 09:38:40 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.041,,,,,
2015-05-11 18:06:39 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-11 17:00:58 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,51.496,4.998,,,,,,
2015-05-11 15:50:54 UTC-6,CVE1504A007,Sample,Cenovus anions,Lifeng,20 x dilution,125.005,0.670,0.353,3.373,,,,
2015-05-11 14:45:06 UTC-6,CVE1504A006,Sample,Cenovus anions,Lifeng,20 x dilution,236.750,,,1.301,,,,
2015-05-11 12:25:46 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,51.691,5.010,5.190,4.961,,,,
2015-05-11 11:19:59 UTC-6,LRB,Sample,Cenovus anions,Lifeng,,,,0.047,,,,,
2015-05-11 10:14:16 UTC-6,IPCs,Sample,Cenovus anions,Lifeng,,101.196,4.940,4.912,4.870,,,,
2015-05-11 09:07:46 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.121,,0.127,,,,
2015-05-08 17:48:20 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.047,,,,,
2015-05-08 17:15:27 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.047,,,,,
2015-05-08 16:09:40 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,50.654,4.902,5.073,4.867,,,,
2015-05-08 15:02:30 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.045,,,,,
2015-05-08 12:58:14 UTC-6,mq,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-08 09:27:11 UTC-6,mq,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-08 09:17:14 UTC-6,mq,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-08 09:06:51 UTC-6,mq,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-08 08:49:07 UTC-6,mq,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-08 08:41:24 UTC-6,mq,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-05-07 19:19:54 UTC-6,CVE1504A009,Sample,Cenovus anions,Lifeng,20 x dilution,126.406,0.645,3.170,,,,,
2015-05-07 18:14:05 UTC-6,CVE1504A008,Sample,Cenovus anions,Lifeng,20 x dilution,138.491,0.718,1.734,0.143,,,,
2015-05-07 17:08:17 UTC-6,CVE1504A007,Sample,Cenovus anions,Lifeng,20 x dilution,131.033,0.693,1.346,0.148,,,,
2015-05-07 16:02:29 UTC-6,CVE1504A006,Sample,Cenovus anions,Lifeng,20 x dilution,240.001,1.967,0.137,0.783,,,,
2015-05-07 14:56:43 UTC-6,LFB,Sample,Cenovus anions,Lifeng,,9.951,1.919,1.941,1.949,,,,
2015-05-07 13:50:57 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,50.480,4.911,5.104,4.952,,,,
2015-05-07 12:45:10 UTC-6,LRB,Sample,Cenovus anions,Lifeng,,,,0.047,,,,,
2015-05-07 11:39:28 UTC-6,IPCs,Sample,Cenovus anions,Lifeng,,99.678,4.904,4.882,4.901,,,,
2015-05-07 10:32:09 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.050,,,,,
2015-05-07 09:14:49 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.048,,,,,
2015-05-07 08:09:03 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,50.567,4.927,5.106,4.947,,,,
2015-05-07 07:03:17 UTC-6,CVE1504A005,Sample,Cenovus anions,Lifeng,,131.654,0.673,1.041,0.136,,,,
2015-05-07 05:57:32 UTC-6,CVE1504A004,Sample,Cenovus anions,Lifeng,20 x dilution,135.675,0.669,0.193,0.120,,,,
2015-05-07 04:51:45 UTC-6,CVE1504A003,Sample,Cenovus anions,Lifeng,20 x dilution,133.851,0.653,1.273,0.119,,,,
2015-05-07 03:45:57 UTC-6,CVE1504A002 dup,Sample,Cenovus anions,Lifeng,20 x dilution,134.922,0.670,7.369,0.127,,,,
2015-05-07 02:40:11 UTC-6,CVE1504A002,Sample,Cenovus anions,Lifeng,20 x dilution,133.985,0.665,7.330,0.130,,,,
