9/4/2014   5:04:27PM,,,,Calibration Blank5,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .0889,,,, .0866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0016,,,,,,,,,,,,,,,,,,,,,, .0130,,,,,,,,,, .0055,,,, -.0001,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:05:59PM,,,,Calibration Blank6,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .1426,,,, .1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0014,,,,,,,,,,,,,,,,,,,,,, .0129,,,,,,,,,, .0100,,,, -.0000,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:07:31PM,,,,Calibration Blank7,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .1458,,,, .1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0021,,,,,,,,,,,,,,,,,,,,,, .0101,,,,,,,,,, .0072,,,, -.0001,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:09:03PM,,,,Calibration Blank8,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,, .1446,,,, .1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0013,,,,,,,,,,,,,,,,,,,,,, .0132,,,,,,,,,, .0025,,,, -.0000,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:10:37PM,,,,Calibration Blank9,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,, .1502,,,, .1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0017,,,,,,,,,,,,,,,,,,,,,, .0068,,,,,,,,,, .0049,,,, -.0000,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,,11/10/2015  2:32:31 PM,,,,,,,,1 - 1 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,1 - 2 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,1 - 3 of 47,,,,Published:,11/10/2015  2:32:31 PM,,,,,,,1 - 4 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,1 - 5 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,1 - 6 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,1 - 7 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,1 - 8 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,1 - 9 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,1 - 10 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,1 - 11 of 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ag3280,,Al3082,Al3961,,As1890,,Au2427,,B_2496,,B_2497,,Ba2304,,Ba4130,,Ba4554,,Ba,,Ba4934,,Be3130,,Bi2230,,Bi3067,,Ca,,Ca3158,,Ca3179,,Ca3933,,Cd2265,,Cd2288,,Ce4040,,Ce5353,,Co2286,,Co2311,,Co2388,,Cr2677,,Cu3247,,Dy3531,,Er3372,,Eu3819,,Fe2382,,Fe,,Fe2599,,Ga2943,,Gd3350,,Ge2651,,Hf3399,,Hg1942,,Ho3456,,In2306,,In3256,,Ir2242,,K,,K_7664,,La3337,,Li6707,,Lu2615,,Mg,,Mg2790,,Mg2852,,Mn2576,,Mn2593,,Mo2020,,Mo2848,,Na5889,,Na5895,,Na8183,,Nb3094,,Nd4012,,Ni2316,,Os2255,,P_2136,,Pb2203,,Pd3404,,Pr4143,,Pt2144,,Rh3434,,Ru2678,,S_1826,,Sb2068,,Sc3613,,Se1960,,Si2516,,Sm3306,,Sn1899,,Sr2152,,Sr2282,,Sr4077,,Sr,,Sr4215,,Ta2685,,Tb3509,,Te2142,,Th2837,,Ti3349,,Tl1908,,Tm3131,,U_3670,,V_3093,,W_2397,,Y_3710,,Yb3289,,Zn2138,,Zn2138,,Zr3391,
9/4/2014   5:12:12PM,,,,Calibration Blank10,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .1454,,,, .1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0012,,,,,,,,,,,,,,,,,,,,,, .0129,,,,,,,,,, .0061,,,, -.0001,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:13:45PM,,,,Calibration Blank11,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,, .1423,,,, .1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0013,,,,,,,,,,,,,,,,,,,,,, .0114,,,,,,,,,, .0071,,,, .0000,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:15:19PM,,,,Calibration Blank12,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .1477,,,, .1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0013,,,,,,,,,,,,,,,,,,,,,, .0053,,,,,,,,,, .0079,,,, -.0000,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:16:53PM,,,,Calibration Blank13,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,, .1544,,,, .1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0007,,,,,,,,,,,,,,,,,,,,,, .0043,,,,,,,,,, .0097,,,, -.0000,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:18:27PM,,,,Calibration Blank14,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,, .1496,,,, .1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0014,,,,,,,,,,,,,,,,,,,,,, .0046,,,,,,,,,, .0087,,,, -.0000,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:20:03PM,,,,Calibration Blank15,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .1488,,,, .1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0012,,,,,,,,,,,,,,,,,,,,,, .0060,,,,,,,,,, .0053,,,, -.0001,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:21:35PM,,,,Calibration Blank16,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0003,,,,,,,,,, .0638,,,, .0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0018,,,,,,,,,,,,,,,,,,,,,, .0117,,,,,,,,,, .0047,,,, -.0001,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:23:07PM,,,,Calibration Blank17,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .0631,,,, .0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0019,,,,,,,,,,,,,,,,,,,,,, .0208,,,,,,,,,, .0044,,,, -.0002,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:24:38PM,,,,Calibration Blank18,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,, .0619,,,, .0617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0014,,,,,,,,,,,,,,,,,,,,,, -.0008,,,,,,,,,, .0089,,,, -.0001,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:26:10PM,,,,Calibration Blank19,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,, .0612,,,, .0596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0019,,,,,,,,,,,,,,,,,,,,,, -.0102,,,,,,,,,, .0070,,,, -.0001,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:27:43PM,,,,Calibration Blank20,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .1430,,,, .1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0022,,,,,,,,,,,,,,,,,,,,,, .0017,,,,,,,,,, .0059,,,, -.0001,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   6:02:43PM,,,,Blank,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, -37.06,,,,,,,,,, -23.15,,,, 10240.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16.03,,,,,,,,,,,,,,,,,,,,,, -40.38,,,,,,,,,, 2.901,,,, 1.616,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -52.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   6:04:18PM,,,,CalibStd-1,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 2893.,,,,,,,,,, 219.0,,,, 61400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 243.5,,,,,,,,,,,,,,,,,,,,,, 68.12,,,,,,,,,, 30.88,,,, 1188.,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8466.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   6:05:50PM,,,,CalibStd-2,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 5854.,,,,,,,,,, 343.7,,,, 89740.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 473.3,,,,,,,,,,,,,,,,,,,,,, 231.1,,,,,,,,,, 53.37,,,, 2404.,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 17160.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   6:07:22PM,,,,CalibStd-3,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 32140.,,,,,,,,,, 1626.,,,, 355900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2383.,,,,,,,,,,,,,,,,,,,,,, 492.3,,,,,,,,,, 257.9,,,, 12690.,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 91030.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   6:09:01PM,,,,CalibStd-4,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 121900.,,,,,,,,,, 4693.,,,, 994500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8977.,,,,,,,,,,,,,,,,,,,,,, 1987.,,,,,,,,,, 945.9,,,, 47910.,,,,,,,, 27680.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 341200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   6:10:45PM,,,,CalibStd-5,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 599000.,,,,,,,,,, 22860.,,,, 4554000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 44240.,,,,,,,,,,,,,,,,,,,,,, 10030.,,,,,,,,,, 4684.,,,, 237400.,,,,,,,, 124500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1651000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   6:12:34PM,,,,CalibStd-6,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 2835000.,,,,,,,,,, 110100.,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 212500.,,,,,,,,,,,,,,,,,,,,,, 49870.,,,,,,,,,, 23070.,,,, 1098000.,,,,,,,, 613600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   6:14:30PM,,,,IPC,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,,F 2.173,,,,,,,,,,F 2.165,,,, 2.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F 2.108,,,,,,,,,,,,,,,,,,,,,, 10.07,,,,,,,,,, 2.073,,,,F 2.147,,,,,,,,F 1.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
